CPUE	SPL	Klorofil-a	Arus
12.20967742	28.76329844	0.7031025	0.181903078
15.74038462	28.86726478	0.931014872	0.241648526
6.961722488	29.10115861	0.409770818	0.063299791
7.406698565	29.857509	1.015647949	0.145062774
6.232227488	29.33979314	0.45166087	0.090015404
4.253456221	28.84158856	0.708190569	0.062400151
6.162790698	28.03640856	0.920740763	0.133813182
11.35616438	27.22638633	1.004638992	0.098302637
10.93436293	25.91345967	2.490870763	0.060885734
16.80160858	27.03064058	0.97845	0.125025902
11.78291815	28.12108725	0.697987981	0.059636333
16.3	29.23251028	0.381725625	0.151830863
13.1952862	30.02591017	0.323559123	0.045873359
12.75	29.96894242	0.599675614	0.14107691
16.15936255	30.461389	0.44932866	0.20342383
17.64253394	30.61408319	0.525349811	0.066763409
11.14018692	30.48617003	1.004104052	0.072024514
9.975247525	30.57727789	0.824589569	0.114843709
8.62987013	29.99657172	0.657048407	0.065542216
8.4875	29.85954361	0.54632641	0.075299864
9.528735632	30.02615439	0.482318447	0.06320135
11.24456522	29.99533064	0.945801386	0.027044822
10.28571429	29.76994131	0.766848866	0.018353834
9.077380952	29.36430961	0.750130633	0.198453301
9.734439834	29.03570661	0.809012553	0.129868688
10.78854626	28.68789736	1.28402625	0.139384359
8.604790419	29.51653594	1.055697453	0.181170378
11.10897436	29.40746286	0.779317727	0.043088442
4.481707317	29.12400692	0.647923448	0.072639948
6.797169811	28.80856756	0.671961197	0.162027283
8.446700508	28.12920522	0.712645214	0.098243883
17.40692641	26.94201478	2.071191513	0.074158864
13.67123288	27.35452333	0.874091121	0.081197727
8.968871595	28.47286403	0.569491389	0.141730684
18.63565891	29.20691544	0.703109333	0.107697961
12.36610169	29.26675211	1.489329712	0.156461142
17.51898734	29.02004056	0.675418571	0.148822522
35.26162791	28.77607544	1.386905	0.067476291
22.54679803	29.44347461	0.945025351	0.228705953
18.77990431	29.49787892	0.775789744	0.061426362
4.925619835	28.98343864	0.66611885	0.090860089
15.65294118	28.80531225	0.638827119	0.091206924
6.99078341	27.15873692	1.644705	0.082171016
16.25106383	26.52800081	1.341021271	0.079809896
14.85772358	26.43892736	0.929035856	0.059979982
18.71365639	27.35202083	0.440020213	0.109088925
38.97329377	28.75996172	0.38335767	0.069668602
36.92413793	29.11855428	0.538587407	0.069714667
331.3636364	29.30970183	0.340059663	0.079547193
467.5625	29.75065361	0.46047835	0.088718374
151.1212121	29.86764125	0.559871207	0.194721671
128.1875	30.33087156	0.475925909	0.072028208
205.65	29.64752142	1.078696975	0.105959927
127.6	28.38391264	3.065691849	0.261532162
84.30769231	26.79924922	1.577592333	0.141073272
77.55555556	25.30846081	5.669079402	0.188099082
40.66666667	25.36473689	4.33966475	0.105025783
1316.5	25.61612797	6.745828783	0.094545343
783.0740741	27.365856	5.144633162	0.072915229
368.2307692	28.83772289	1.15666213	0.113667092
85.42105263	29.62670772	1.068006441	0.252886384
76.05714286	29.71049125	0.505552737	0.212568488
47.53846154	29.81657361	0.869968587	0.10944176
40.64285714	30.12554292	1.228203694	0.071486455
30.94117647	30.24200156	0.94962069	0.198468578
129.3157895	29.88133392	0.661434811	0.084303236
278.6818182	28.66651403	1.384052931	0.155984872
119.68	28.21829892	0.710936441	0.075344523
49.95238095	27.65266886	1.42257113	0.165332781
146.48	28.33518481	0.712598491	0.06533277
266.0681818	29.302764	0.4977325	0.074175561
87	28.77056186	1.310032706	0.2251238
28.08965517	29.3421775	0.562250217	0.043886978
18.36734694	29.08991222	0.558023661	0.225568863
17.94382022	29.39045639	0.462213534	0.061512822
6.84057971	29.30402	0.441061949	0.097558513
10.40625	29.55448306	0.436098991	0.148502162
8.441860465	29.61944028	0.389072773	0.107511013
7.420454545	29.27507861	0.689913644	0.142286368
5.623376623	28.43749056	0.648968273	0.150322419
16.20535714	27.54111639	1.942318362	0.150495303
25.96350365	28.60346694	0.601267748	0.143151645
29.76551724	29.51497528	1.703460541	0.159491248
36.8974359	29.49450667	0.84302767	0.07310393
47.20072993	29.8324775	0.350518609	0.094786071
8.584615385	29.54993944	0.27875131	0.185361151
6.3	29.56303917	0.629422692	0.155484938
6.786885246	29.82105722	0.857711826	0.121181819
6.333333333	29.83572306	0.791669298	0.107446321
6.164556962	29.42127417	1.036451304	0.09945733
8.740740741	29.08952556	0.526729286	0.152434232
8.16091954	28.67107	0.542183097	0.139095809
8.649350649	29.08671722	0.777763019	0.110439694
5.638554217	28.83728722	0.561894479	0.117638404
12.19587629	28.89639222	0.906664891	0.170818265
8.204545455	28.99093611	0.887851909	0.131793359
